Linnamägi,Ruudunumber,Lisainfo,INSPIRE id,INSPIRE nimi,
Kivivarre Liinamägi,439631,,mka_10077108,"Linnus ""Aakre Kivivare linnamägi""",
Agemäe linnus,465667,"pole kaardil märgitud, ruudu ülemises vasakus nurgas",,,
Ahisilla linnusekoht,562567,"pole kaardil märgitud, Soone tn 6 kinnistul",,,
Akupere linnus,,kaardil tuvastamatu,mka_10082860,"Linnus ""Akupere linnus""",
Alatskivi Kalevipoja säng,500680,ruudu ülemises paremas nurgas,mka_12458939,"Linnus ""Kalevipoja säng""",
Alatskivi linnamägi,500681,,mka_10078885,Linnus,
Alt-Laari Linnamägi,"463636, 462636",südamekujuline,mka_12660497,"Linnus ""Alt-Laari""",
Alulinn,590680,,mka_12693627,"Linnus ""Alulinn""",
Asva linnusasula,,kaardil tuvastamatu,mka_10079458,"Kindlustatud asula ""Linnamäe põld""",
Elva kalevipoja säng,458644,,mka_10083050,"Linnus ""Kalevipoja säng"", ""Kabelimägi""",
Erumäe kants,462636,osaliselt sama ruut mis Alt-Laari linnamägi,mka_10084139,"Linnus ""Erumäe kants""",
Ehavere linnamägi,503652,samuti kalevipoja säng,mka_10083909,"Linnus ""Kalevipoja säng""",
Ehmja Kuradimägi,525486,õsna ruudu keskel,mka_10082248,"Linnus ""Kuradimägi""",
Hinniala linnamägi,407700,Päävapüürdmisemägi gis kaardil,mka_11174229,Linnus ja ohvrikoht Pääväpüürdmisemägi / Hobõsõsälämägi,
Iru linnamägi,591551,,mka_10083838,"Iru linnamägi, II a- tuh. e.Kr. - I a- tuh.",
Jalukse ringvall-linnus,,kaardil praktiliselt tuvastamatu,mka_11162016,Pelgupaik ja ohvrikoht Hiietempel,
Jägala jõesuu linnamägi,592565,vb kasutatav,mka_10080281,"Linnus ""Jägala linnamägi""",
Jäneda linnamägi,567596,,mka_10078718,Linnus,
Järveküla linnus,420652,"kaardil ""Liinusmägi""",mka_10081766,Linnus,
Kaali kindlustatud asula,"471422, 470422",kaali kraater,mka_10082395,Kindlustatud asula ja ohverdamiskoht,
Kaarma maalinn,"468413, 468412",,mka_10082908,Linnus,
 Kalana ehk Otissaare linnamägi,511617,,mka_10083614,Linnus,
Kalina soolinnus,576688,,mka_10082160,Linnus,
Kantsmäe linnusease,532523,,mka_10077371,"Linnus ""Kantsimägi""",
Karitsa Juprimägi,572634,,mka_10082849,Linnus,
Karuse linnus ehk Vatla linnamägi,495483,ruudu all paremas nurgas,mka_10080123,"Linnus ""Vatla linnus""",
Karula linnamägi,402642,,mka_10080315,Linnus,
Kassinurme linnus,509642,,mka_10082424,Linnus,
Kauksi linnamägi,443689,,mka_10082005,"Linnus ""Leerimägi""",
Keava linnamägi,535554,ruudu all keskel,mka_10081367,Keava linnus,
