File,Total Points,True Hillfort Points,Predicted Hillfort Points,Correct Predictions,Recall,Precision
File_0,20520,40,1684,3,0.075,0.0017814726840855108
File_1,20520,60,1773,7,0.11666666666666667,0.003948110547095319
File_2,20520,278,1724,22,0.07913669064748201,0.012761020881670533
File_3,21021,140,1803,14,0.1,0.00776483638380477
File_4,20520,578,1832,43,0.07439446366782007,0.023471615720524017
File_5,21826,145,1890,9,0.06206896551724138,0.004761904761904762
File_6,20520,264,1689,22,0.08333333333333333,0.013025458851391355
File_7,21280,582,1802,54,0.09278350515463918,0.029966703662597113
File_8,21280,19,1834,1,0.05263157894736842,0.0005452562704471102
File_9,21840,204,1804,15,0.07352941176470588,0.008314855875831485
File_10,21060,200,1805,22,0.11,0.01218836565096953
File_11,21280,197,1883,17,0.08629441624365482,0.009028146574614976
File_12,21266,0,1816,0,0.0,0.0
File_13,21840,140,1873,10,0.07142857142857142,0.005339028296849973
File_14,21840,248,1856,24,0.0967741935483871,0.01293103448275862
File_15,21840,519,1878,46,0.08863198458574181,0.024494142705005325
File_16,21055,42,1828,2,0.047619047619047616,0.0010940919037199124
File_17,21060,112,1783,4,0.03571428571428571,0.002243409983174425
File_18,21060,96,1783,7,0.07291666666666667,0.003925967470555244
File_19,21280,342,1831,31,0.09064327485380116,0.016930638995084655
File_20,20520,302,1751,27,0.08940397350993377,0.015419760137064534
File_21,21820,0,1801,0,0.0,0.0
File_22,20520,846,1788,86,0.1016548463356974,0.04809843400447427
File_23,21060,348,1869,33,0.09482758620689655,0.01765650080256822
File_24,21840,129,1775,9,0.06976744186046512,0.0050704225352112674
File_25,21840,52,1831,8,0.15384615384615385,0.004369197160021846
File_26,21060,1101,1774,93,0.08446866485013624,0.052423900789177004
